"","ID","condition","date","OS","learn_trial_n","chosen_door","reward","task_stim","catch_success","catch_rt","blue_val","red_val","yellow_val","purple_val","noise","catch_fail","optimal_choice","reward_list","chosen_door_num","ID_num","inverse_temperature","directed_exploration","perseveration","learning_rate","prediction_error"
"44","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",44,"red_door",50,"Scenes_paint/Sydney_Opera_House_1.jpg",0,NA,22.722,50.502,63.336,42.264,-0.84284,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.49113503964831,-7.34044794312678
"45","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",45,"red_door",52,"Scenes_paint/Rocky_Mountains_1.jpg",0,NA,22.748,53.06,61.587,38.873,-0.98966,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039615643,-1.67403788481755
"46","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",46,"red_door",54,"Scenes_paint/Kuala_Lumpur.jpg",1,0.484,22.183,50.913,59.269,40.364,2.7286,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039607459,1.19491126930021
"47","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",47,"red_door",57,"Scenes_paint/Machu_Picchu_1.jpg",0,NA,26.079,52.389,63.265,36.999,5.1047,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039605409,3.66367648072315
"48","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",48,"red_door",56,"Scenes_paint/Twelve_Apostles_Australia.jpg",0,NA,25.967,56.218,59.642,40.315,-0.050539,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039604895,0.948541795230689
"49","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",49,"red_door",59,"Scenes_paint/Coit_Tower_SF.jpg",0,NA,27.426,54.523,60.836,40.455,4.1787,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039604767,3.57316373626093
"50","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",50,"red_door",50,"Scenes_paint/Uluru_Rock.jpg",0,NA,35.933,57.088,58.361,38.456,-6.6023,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039604734,-7.06396160516136
"51","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",51,"red_door",50,"Scenes_paint/Rio_de_Janeiro.jpg",0,NA,35.224,51.753,58.971,38.721,-1.6897,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039604726,-3.53565106074803
"52","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",52,"red_door",47,"Scenes_paint/Matterhorn.jpg",0,NA,34.24,48.256,61.415,38.089,-1.2404,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039604724,-4.76966256643227
"53","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",53,"purple_door",45,"Scenes_paint/EasterIsland.jpg",0,NA,35.92,49.134,61.359,42.188,2.9749,NA,0,3,3,1,0.165250501455611,0.012309249861754,0.822098570914142,0.900458024742399,4.52934949349335
